BUKRS|BLDAT|MATNR|MENGE|MEINS|WERKS|BKTXT
1000|15.03.2024|DIESEL01|500,00|L|MU01|Fuel purchase March
1000|05.03.2024|DIESEL01|300,00|L|MU01|Fuel purchase March
1000|12.03.2024|PETROL02|800,00|L|PU02|Fuel purchase March
1000|20.03.2024|NGAS003|1200,00|M3|MU01|Natural gas March
1000|25.03.2024|DIESEL01|450,00|L|MU01|Fuel purchase March
1000|28.03.2024|LPG005|150,00|KG|PU02|LPG purchase March
1000|10.03.2024|DIESEL01|99999,00|L|MU01|Fuel purchase March
1000||DIESEL01|400,00|L|PU02|Fuel purchase March
1000|22.03.2024|DIESEL01|600,00|GAL|HQ|Fuel purchase March
1000|18.03.2024|UNKNOWN99|350,00|L|MU01|Unknown material
1000|30.03.2024|DIESEL01|250,00|L|XX99|Fuel purchase unknown plant
1000|03.03.2024|PETROL02|1.200,50|L|PU02|Fuel purchase March
1000|07.03.2024|DIESEL01|abc,00|L|MU01|Corrupted quantity
