Account_Number,Meter_ID,Bill_From,Bill_To,Consumption,Unit,Tariff_Type,Provider
ACC001,MTR4421,03/02/2024,07/03/2024,1200,kWh,ToU,Tata Power
ACC001,MTR4421,08/03/2024,05/04/2024,980,kWh,ToU,Tata Power
ACC001,MTR5512,01/02/2024,29/02/2024,3400,MWh,Flat,MSEDCL
ACC001,MTR5512,01/03/2024,31/03/2024,2100,MWh,Flat,MSEDCL
ACC002,MTR6601,01/03/2024,31/03/2024,750,kWh,ToU,MSEDCL
ACC002,MTR6601,01/02/2024,29/02/2024,820,KWH,Flat,MSEDCL
ACC003,MTR7701,15/03/2024,14/04/2024,99999,kWh,Flat,Tata Power
ACC004,MTR8801,01/03/2024,31/03/2024,,kWh,Flat,MSEDCL
ACC005,MTR9901,01/03/2024,,1500,kWh,ToU,Tata Power
ACC006,MTR1011,01/03/2024,31/03/2024,500,MWH,ToU,BESCOM
ACC007,MTR1012,01/03/2024,31/03/2024,1200,UNITS,Flat,MSEDCL
ACC008,MTR1013,01/02/2024,29/02/2024,2,GWh,Flat,Tata Power
ACC009,MTR1014,32/03/2024,31/04/2024,800,kWh,Flat,MSEDCL
